skill_id,skill,curriculum_score,industry_score,curriculum_type,industry_demand,source_type
S153,Testing,50,70,Project,Medium,Industry Survey
S154,Selenium,55,81,Workshop,High,Expert Review
S155,Jenkins,76,85,Workshop,High,Job Analysis
S156,Linux,58,80,Lab,High,Job Analysis
S157,Python,48,65,Project,High,Expert Review
S158,Java,69,55,Project,High,Expert Review
S159,C++,69,71,Project,Low,Expert Review
S160,C,95,84,Elective,Medium,Industry Survey
S161,JavaScript,63,82,Workshop,Low,Expert Review
S162,TypeScript,89,90,Project,Medium,Industry Survey
S163,SQL,87,86,Elective,Very High,Expert Review
S164,NoSQL,54,67,Core Course,Very High,Industry Survey
S165,Machine Learning,63,68,Lab,Medium,Industry Survey
S166,Deep Learning,48,92,Workshop,Very High,Curriculum Review
S167,Data Science,92,89,Workshop,Very High,Job Analysis
S168,Data Analytics,48,75,Lab,Very High,Expert Review
S169,Statistics,48,58,Core Course,Low,Job Analysis
S170,Natural Language Processing,82,85,Elective,Low,Job Analysis
S171,LLM Applications,77,88,Lab,High,Curriculum Review
S172,Generative AI,55,58,Elective,Medium,Job Analysis
S173,Computer Vision,77,60,Elective,Very High,Job Analysis
S174,Reinforcement Learning,56,59,Elective,Medium,Expert Review
S175,Cloud Computing,83,59,Core Course,High,Industry Survey
S176,AWS,88,70,Core Course,High,Expert Review
S177,Microsoft Azure,70,62,Elective,Very High,Expert Review
S178,Google Cloud,81,70,Project,High,Job Analysis
S179,Docker,82,93,Workshop,Very High,Job Analysis
S180,Kubernetes,47,94,Core Course,High,Expert Review
S181,Terraform,50,81,Project,High,Expert Review
S182,Git,87,92,Project,Very High,Job Analysis
S183,GitHub,81,88,Workshop,High,Industry Survey
S184,CI CD,65,71,Elective,High,Industry Survey
S185,React,58,97,Project,High,Expert Review
S186,Angular,90,75,Project,Medium,Industry Survey
S187,Vue.js,60,71,Project,Low,Expert Review
S188,NodeJS,70,63,Elective,Medium,Curriculum Review
S189,ExpressJS,87,96,Elective,High,Job Analysis
S190,Django,64,84,Core Course,Low,Expert Review
S191,Flask,65,59,Core Course,Medium,Expert Review
S192,FastAPI,45,84,Project,Medium,Expert Review
S193,HTML,84,91,Elective,Medium,Industry Survey
S194,CSS,51,59,Elective,Very High,Expert Review
S195,Tailwind CSS,79,68,Workshop,High,Curriculum Review
S196,UI UX,77,71,Project,High,Industry Survey
S197,Power BI,53,77,Core Course,Low,Job Analysis
S198,Tableau,49,70,Workshop,Medium,Curriculum Review
S199,Apache Spark,68,73,Elective,High,Expert Review
S200,Hadoop,55,83,Core Course,Medium,Curriculum Review
